Study_ID,Article ,Did the study consist of both temporal and spatial comparisons?,Did the study use randomization?,Did the study avoid confounding factors?,Can study determine causality?,Validity
Ashton_2019a,Ashton et al. 2019,Partially,No,Yes,Yes,Low validity
Aslam_2015a,Aslam et al. 2015,Partially,Yes,Yes,Yes,Medium validity
Aupic-Samain_2021a,Aupic-Samain et al. 2021,Partially,Yes,Partially,Yes,Medium validity
Bakonyi_2007a,Bakonyi et al. 2007,Partially,No,Partially,Yes,Low validity
Chikoski_2006a,Chikoski et al. 2006,Partially,Yes,Partially,Yes,Medium validity
Ferguson_2002a,"Ferguson and Joly, 2002",Partially,Yes,Partially,Yes,Medium validity
Frew_2013a,Frew et al. 2013,Partially,No,Yes,Yes,Low validity
Homet_2021a,Homet et al. 2021,Partially,No,Yes,Yes,Low validity
Johnson_2018a,Johnson et al. 2018,Partially,No,Yes,Yes,Low validity
Krashevska_2012a,Krashevska et al. 2012,Partially,Yes,Yes,Yes,Medium validity
Kuperman_2002a,Kuperman et al. 2002,Partially,Yes,Yes,Partially,Medium validity
Landesman_2011a,Landesman et al. 2011,Partially,No,Partially,Yes,Low validity
Lensing_2005a,Lensing et al. 2005,Partially,Yes,No,Partially,Low validity
Lindberg_2006a,"Lindberg and Bengtsson, 2006",Partially,Yes,Yes,Yes,Medium validity
Lindberg_2004a,"Lindberg and Persson, 2004",Partially,Yes,Yes,Yes,Medium validity
Lindberg_2002a,Lindberg et al. 2002,Partially,Yes,Yes,Yes,Medium validity
Liu_2020a,Liu et al. 2020,Partially,Yes,Yes,Yes,Medium validity
Peguero_2021a,Peguero et al. 2021,Partially,Yes,Yes,Yes,Medium validity
Pflug_2001a,"Pflug and Wolters, 2001",Partially,Yes,Yes,Yes,Medium validity
Riutta_2012a,Ruitta et al. 2012,Yes,No,Yes,Yes,Low validity
Santonja_2017a,Santonja et al. 2017,Partially,No,Partially,Yes,Low validity
Sohlenius_1984a,"Sohlenius and Wasilewska, 1984",Partially,Yes,Yes,Yes,Medium validity
Sun_2013a,Sun et al. 2013,Partially,Yes,Partially,Yes,Medium validity
Sun_2020a,Sun et al. 2020,Partially,No,Yes,Yes,Low validity
Taylor_2004a,Taylor et al. 2004,Partially,No,No,Yes,Low validity
Tsiafouli_2005a,Tsiafouli et al. 2005,Partially,Yes,Partially,Yes,Medium validity
Tsiafouli_2018a,Tsiafouli et al. 2018,Partially,Yes,Partially,Yes,Medium validity
Wang_2021a,Wang et al. 2021,Partially,Yes,Partially,Yes,Medium validity
Williams_2014a,Williams et al. 2014,Partially,Yes,Partially,Yes,Medium validity
Wise_2019a,"Wise and Lensing, 2019",Yes,Yes,Yes,Yes,High validity
Taylor_2005a,Taylor and Volkmar 2005,Partially,No,Partially,Yes,Low validity
Delph_2014a,Delph et al. 2004,Partially,No,Partially,Partially,Low validity
Levings_1984a,Levings and Windsor 1984,Partially,Yes,Yes,Yes,Medium validity
